,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
128,10,27,USA,m,single,n,79968,3m,"I mowed the lawn for the first time this year, I always enjoy doing yard work especially during spring when its not too hot out yet.","I mowed the lawn for the first time this year, I always enjoy doing yard work especially during spring when its not too hot out yet.",True,1,achievement,achievement,1
130,10,27,USA,m,single,n,108479,3m,I got a check in the mail for some work I forgot about that I did months ago. The check could not have arrived at a better time because I really needed the extra money.,I got a check in the mail for some work I forgot about that I did months ago. The check could not have arrived at a better time because I really needed the extra money.,True,2,achievement,achievement,1
176,16,35,USA,m,single,n,34384,24h,My girlfriend told me that she got the job she applied for,My girlfriend told me that she got the job she applied for,True,1,achievement,affection,1
178,16,35,USA,m,single,n,91278,3m,I got a new washer and dryer and they are great,I got a new washer and dryer and they are great,True,1,achievement,achievement,1
179,16,35,USA,m,single,n,94278,3m,I finished reading one of my favorite books ,I finished reading one of my favorite books ,True,1,achievement,achievement,1
180,16,35,USA,m,single,n,99293,3m,I got a new stereo put in my car last month and it sounds great.,I got a new stereo put in my car last month and it sounds great.,True,1,achievement,achievement,1
182,16,35,USA,m,single,n,126693,24h,I did some side work and got paid very well.,I did some side work and got paid very well.,True,1,achievement,achievement,1
184,17,30,USA,m,single,n,47896,24h,I was praised at work yesterday for my work ethic.,I was praised at work yesterday for my work ethic.,True,1,achievement,achievement,1
187,17,30,USA,m,single,n,78000,3m,I got promoted at work in March. ,I got promoted at work in March. ,True,1,achievement,achievement,1
191,18,30,USA,m,single,n,33226,24h,I got a high score on a game I was playing.,I got a high score on a game I was playing.,True,1,achievement,achievement,1
197,18,30,USA,m,single,n,84823,3m,I won a free movie ticket,I won a free movie ticket,True,1,achievement,achievement,1
198,18,30,USA,m,single,n,85315,3m,I got a high score on a game I was playing.,I got a high score on a game I was playing.,True,1,achievement,achievement,1
199,18,30,USA,m,single,n,92564,3m,I won some gift certificates to Walmart.,I won some gift certificates to Walmart.,True,1,achievement,achievement,1
215,22,32,USA,m,single,n,28450,24h,"I got a ten dollar bonus from a requester on Mechanical Turk, and I didn't even remember doing the HIT.","I got a ten dollar bonus from a requester on Mechanical Turk, and I didn't even remember doing the HIT.",True,1,achievement,achievement,1
220,22,32,USA,m,single,n,71406,3m,"I cooked a homemade artisan pizza that was loaded with toppings yesterday afternoon, and it was delicious.","I cooked a homemade artisan pizza that was loaded with toppings yesterday afternoon, and it was delicious.",True,1,achievement,achievement,1
223,22,32,USA,m,single,n,97536,3m,I went into work early today to fill out paperwork for my raise.,I went into work early today to fill out paperwork for my raise.,True,1,achievement,achievement,1
332,29,44,USA,m,single,n,85363,3m,"I had my hardware floors refinished, and they looked great!","I had my hardware floors refinished, and they looked great!",True,1,achievement,achievement,1
374,34,23,USA,m,single,n,31139,24h,I finished writing my music album.,I finished writing my music album.,True,1,achievement,achievement,1
379,34,23,USA,m,single,n,69165,3m,I graduated with my master's degree/,I graduated with my master's degree/,True,1,achievement,achievement,1
380,34,23,USA,m,single,n,79668,3m,I bought a new Legend of Zelda Game.,I bought a new Legend of Zelda Game.,True,1,achievement,achievement,1
383,34,23,USA,m,single,n,90544,3m,I bought a new laptop.,I bought a new laptop.,True,1,achievement,achievement,1
384,34,23,USA,m,single,n,96811,3m,I bought a new gaming console.,I bought a new gaming console.,True,1,achievement,achievement,1
386,34,23,USA,m,single,n,113638,24h,I bought a new laptop.,I bought a new laptop.,True,1,achievement,achievement,1
400,36,37,USA,m,single,n,28119,24h,I found something I had lost weeks before.,I found something I had lost weeks before.,True,1,achievement,achievement,1
401,36,37,USA,m,single,n,34624,24h,I won money from a scratch off ticket.,I won money from a scratch off ticket.,True,1,achievement,achievement,1
402,36,37,USA,m,single,n,40622,24h,I finished house chores early.,I finished house chores early.,True,1,achievement,achievement,1
404,36,37,USA,m,single,n,55636,24h,I reieved a package I have been waiting for.,I reieved a package I have been waiting for.,True,1,achievement,achievement,1
405,36,37,USA,m,single,n,56636,24h,I finished cleaning the windows in my room.,I finished cleaning the windows in my room.,True,1,achievement,achievement,1
406,36,37,USA,m,single,n,88388,3m,I purchased new furniture for my bedroom.,I purchased new furniture for my bedroom.,True,1,achievement,achievement,1
